 merchant_id,Merchant Name,MCC_Code,mcc_desc ,Country,Channel,Onboarded_Date,Status
MERC00210,Coastal  Drug Store,5912,Drug Stores & Pharmacies,CA,Both,21-05-2023,Active
MERC00136,Highland Drug Store,5912,Drug Stores & Pharmacies,Brazil,POS,45135,Active
MERC00385,Summit ATM,6011,Automated Teller Machines (ATM),GB,ATM,30-07-2018,Active
MERC00351,Lakeside Tech Store,5732,Electronics Stores,JP,Both,22-02-2018,Active
MERC00199,Bluepeak Diner,5812,Eating Places & Restaurants,CA,POS,42761,Active
MERC00167,SILVERLINE AIR,4511,Airlines,JP,POS,2022-09-28,Active
MERC00322,Meadow Digital,5732,Electronics Stores,US,POS,2017-01-30,Active
MERC00137,Coastal Department Store,5311,Department Stores,Japan,POS,2022-08-18,Active 
MERC00286,Rivérside Market,5411,Grocery Stores & Supermarkets,United Kingdom,Both,28-07-2023,Active
MERC00132,Lakeside Gas & Go,5541,Service Stations (Fuel),IN,POS,26-07-2023,Active 
MERC00040,Brookfield Service Station,5541,Service Stations (Fuel),BR,POS,42282,Active
MERC00216,Meadow Games,7995,Entertainment & Gaming,MX,POS,08-04-2017,Inactive
MERC00044,Summit Market,5411,Grocery Stores & Supermarkets,MX,POS,02-01-2019,Active
 MERC00055 ,Metro Service Station,5541,Service Stations (Fuel),AE,E-commerce,01-09-2024,INACTIVE
MERC00388,Skyline ATM,6011,Automated Teller Machines (ATM),IN,ATM,03-04-2015,Active
MERC00300,Harborview Air,4511,Airlines,Japan,POS,26-10-2022,Active 
MERC00372,Brookfield ATM,6011,Automated Teller Machines (ATM),DE,ATM,29-09-2022,Active 
MERC00305,Northgate Service Station,5541,Service Stations (Fuel),AE,POS,2021-05-06,Active
MERC00036,Harborview Games,7995,Entertainment & Gaming,in,POS,2021-06-13,Active
MERC00316,Northgate Gas & Go,5541,Service Stations (Fuel),AU,POS,2015-08-08,Active
MERC00310,Union Service Station,5541,Service Stations (Fuel),United States,Both,06-03-2015,Active 
MERC00277,Greenway Store,5311,Department Stores,United States,Both,30-06-2021,Inactive
MERC00125,Ironwood Drug Store,5912,Drug Stores & Pharmacies,US,E-commerce,09-11-2024,active
MERC00143,Bluepeak Games,7995,Entertainment & Gaming,US,Both,15-02-2020,ACTIVE
MERC00111,Ironwood Entertainment,7995,Entertainment & Gaming,FR,Both,01-04-2018,Active
MERC00324,summit airways,4511,Airlines,Germany,E-commerce,30-12-2022,ACTIVE
MERC00358,Bluepeak Inn,7011,"Hotels, Motels & Resorts",MX,Both,21-05-2022,Active 
MERC00108,Metro Fresh Foods,5411,Grocery Stores & Supermarkets,JP,Both,29-11-2015,Active
MERC00013,Ironwood Drug Store,5912,Drug Stores & Pharmacies,US,Both,2023-08-18,Active
MERC00273,Silverline Diner,5812,Eating Places & Restaurants,Singapore,E-commerce,02-01-2024,Inactive
MERC00048,Silverline Health Mart,5912,Drug Stores & Pharmacies,AE,Both,19-10-2022,Inactive
MERC00204,Harborview Fuel Stop,5541,Service Stations (Fuel),au,Both,08-10-2022,ACTIVE
MERC00364,Fieldstone  Airways,4511,Airlines,Japan,E-commerce,17-05-2022,Active
MERC00120,Bluepeak Pharmacy,5912,Drug Stores & Pharmacies,Japan,POS,12-10-2017,Active 
MERC00022,Riverside Gas & Go,5541,Service Stations (Fuel),GB,POS,08-06-2025,Active
MERC00084,Summit Service Station,5541,Service Stations (Fuel),MX,POS,16-12-2022,Active
MERC00131,Crescent Emporium  ,5999,Miscellaneous Retail,Brazil,Both,23-11-2024,Active
MERC00330,Highland Digital,5732,Electronics Stores,IN,POS,43843,Active
MERC00230,Lakeside Tech Store,5732,Electronics Stores,AU,E-commerce,43842, Active
MERC00118,Northgate Entertainment,7995,Entertainment & Gaming,IN,E-commerce,19-04-2021,Active
MERC00287,Harborview General Store,5999,Miscellaneous Retail,AU,POS,13-06-2024,Active
MERC00124,Brookfield Shop,5999,Miscellaneous Retail,JP,POS,02-08-2020,Active
MERC00034,Summit Department Store,5311,Department Stores,CA,Both,16-02-2020, Active
MERC00386,Metro ATM  ,6011,Automated Teller Machines (ATM),IN,ATM,2018-05-14,ACTIVE
MERC00005,COASTAL FUEL STOP,5541,Service Stations (Fuel),IN,E-commerce,29-10-2024,Active 
MERC00020,Brookfield  Pharmacy,5912,Drug Stores & Pharmacies,US,POS,25-02-2025, Active
MERC00220,Metro Drug Store,5912,Drug Stores & Pharmacies,IN,E-commerce,2024-01-26,Active
MERC00196,Coastal Airlines,4511,Airlines,DE,Both,19-12-2016,inactive
MERC00150,Riverside Retail Co.,5311,Department Stores,SG,POS,14-06-2018,Inactive
MERC00225,Summit Airways,4511,Airlines,United States,POS,26-06-2021,Active
MERC00248,Greenway Entertainment,7995,Entertainment & Gaming,Singapore,POS,24-06-2017,Active
MERC00363,Summit Arcade,7995,Entertainment & Gaming,AE,E-commerce,29-08-2021,Active
MERC00152,Metro Airlines,4511,Airlines,IN,E-commerce,2023-02-02,Active 
MERC00318,Coastal Retail Co.  ,5311,Department Stores,AE,Both,2023-08-16,Active
MERC00292, Riverside Arcade ,7995,Entertainment & Gaming,GB,POS,12-08-2019,ACTIVE
MERC00234,Riverside Airways,4511,Airlines,GB,E-commerce,12-05-2024,Active
MERC00011,Silverline Hotel,7011,"Hotels, Motels & Resorts",IN,Both,2024-01-26,Active 
MERC00280,Skyline Entertainment,7995,Entertainment & Gaming,BR,POS,05-05-2022,ACTIVE
MERC00072,meadow electronics,5732,Electronics Stores,CA,POS,25-08-2025,ACTIVE
MERC00253,Bluepeak Tech Store,5732,Electronics Stores,SG,POS,31-07-2019,Active
MERC00093,Greenway Digital,5732,Electronics Stores,Japan,POS,17-08-2023,Active
MERC00350,Harborview Drug Store,5912,Drug Stores & Pharmacies,GB,POS,16-06-2021,ACTIVE
MERC00193,Old Town Service Station,5541,Service Stations (Fuel),United Kingdom,E-commerce,27-10-2016,ACTIVE
MERC00258,Lakeside Arcade,7995,Entertainment & Gaming,US,POS,03-07-2016,Active
MERC00340,Silverline Electronics,5732,Electronics Stores,Canada,Both,12-05-2018,Active
MERC00400,Coastal ATM,6011,Automated Teller Machines (ATM),BR,ATM,09-04-2023,Active
MERC00196,Coastal Airlines,4511,Airlines,DE,Both,19-12-2016,Active
MERC00344,Lakeside Market,5411,Grocery Stores & Supermarkets,GB,Both,2025-08-22,Inactive
MERC00138,Lakeside Shop,5999,Miscellaneous Retail,SG,POS,01-02-2016,ACTIVE
MERC00261,Union Bistro,5812,Eating Places & Restaurants,IN,E-commerce,44198,Active
MERC00039,Summit Digital,5732,Electronics Stores,Japan,POS,06-02-2017, Inactive
MERC00202,Ironwood Inn,7011,"Hotels, Motels & Resorts",us,POS,2018-09-12,Active
MERC00382,Silverline ATM,6011,Automated Teller Machines (ATM),JP,ATM,2018-11-27,Active
MERC00291,Riverside Health Mart,5912,Drug Stores & Pharmacies,Germany,Both,06-03-2015,Active
MERC00190,Highland Health Mart,5912,Drug Stores & Pharmacies,SG,POS,44631,Active
MERC00252,Brookfield Tech Store,5732,Electronics Stores,US,POS,2023-10-24,ACTIVE
MERC00113,Metro Pharmacy,5912,Drug Stores & Pharmacies,au,Both,2015-10-26,Active 
MERC00184,Highland Retail Co.,5311,Department Stores,United States,POS,09-08-2017,Active
MERC00153,Brookfield  Health Mart,5912,Drug Stores & Pharmacies,US,POS,29-11-2016,Active
MERC00313,Lakeside Retail Co.,5311,Department Stores,Brazil,POS,45423, Active
MERC00326,Lakeside Shop,5999,Miscellaneous Retail,US,E-commerce,18-04-2023,Active
MERC00192,Union Pharmacy,5912,Drug Stores & Pharmacies,Mexico,POS  ,43122,Active
MERC00045,Northgate Airlines,4511,Airlines,US,Both,2023-03-22,Active
MERC00276,Crescent Emporium,5999,Miscellaneous Retail,India,E-commerce,2015-03-08,Active
MERC00007,coastal general store,5999,Miscellaneous Retail,AU,Both,28-04-2024,ACTIVE
MERC00251,Fieldstone Health Mart,5912,Drug Stores & Pharmacies,JP,Both,12-07-2015,Active
MERC00312,Meadow Hotel,7011,"Hotels, Motels & Resorts",FR,POS,27-10-2016,Active 
MERC00076  ,Crescent Fuel Stop,5541,Service Stations (Fuel),IN,POS,2022-04-14,Active
MERC00001,Silverline Fuel Stop,5541,Service Stations (Fuel),CA,E-commerce,17-08-2025,Active
MERC00384,Old Town ATM,6011,Automated Teller Machines (ATM),US,ATM,2023-02-05,Active
MERC00069,BLUEPEAK EMPORIUM,5999,Miscellaneous Retail,fr,POS,08-05-2015,Active
MERC00168,Highland  Health Mart,5912,Drug Stores & Pharmacies,Japan,POS,29-11-2018,Active 
MERC00393,Cedar ATM,6011,Automated Teller Machines (ATM),US,ATM,10-03-2021,Active 
MERC00219,Summit Retail Co.,5311,Department Stores,US,E-commerce,25-06-2020,Active 
MERC00043  ,Crescent Digital,5732,Electronics Stores,IN,POS,2019-03-10,Active
MERC00367,Northgate Diner,5812,Eating Places & Restaurants,CA,E-commerce,42048,Active
MERC00346,Coastal Fuel Stop,5541,Service Stations (Fuel),MX,Both,30-10-2019,ACTIVE
MERC00073,Old Town Store,5311,Department Stores,AU,Both,2016-09-20,Active
MERC00024,Summit Air,4511,Airlines,JP,POS,01-05-2019,Active
MERC00399,Riverside ATM,6011,Automated Teller Machines (ATM),AU,ATM,2019-06-09,Active
MERC00186,Metro Shop,5999,Miscellaneous Retail,Germany,E-commerce,22-06-2025,active
MERC00349,Ironwood Digital,5732,Electronics Stores,US,POS,31-07-2018,Active
MERC00104,Brookfield Games,7995,Entertainment & Gaming,Germany,E-commerce,42387,Active
MERC00212,Union Arcade,7995,Entertainment & Gaming,IN,POS  ,2023-12-29,Active
MERC00068,brookfield digital,5732,Electronics Stores,Brazil,POS,28-01-2019,Active
MERC00026,Bluepeak Fuel Stop,5541,Service Stations (Fuel),GB,POS,2023-11-16,Active 
MERC00197,Greenway Digital,5732,Electronics Stores,IN,E-commerce,2024-04-10,active
MERC00176,Meadow Bistro,5812,Eating Places & Restaurants,Canada,POS,2021-11-26,Active
